experiment_id,scenario_family,algorithm,policy,seed,status,wall_time_s,cpu_time_s,scenario_success,scenario_realized,collision,near_collision,time_to_event,intervention_cost,scenario_duration,reason
cut_in__laser__idm__s000,cut_in,laser,idm,0,success,103.033,5.692,True,True,False,,,,14.95000022277236,
cut_in__laser__idm__s001,cut_in,laser,idm,1,success,84.302,5.621,True,True,False,,,,14.95000022277236,
cut_in__laser__idm__s002,cut_in,laser,idm,2,success,33.593,4.29,True,True,False,,,,14.95000022277236,
cut_in__laser__idm__s004,cut_in,laser,idm,4,success,95.07,5.915,True,True,False,,,,14.95000022277236,
cut_in__laser__idm__s005,cut_in,laser,idm,5,success,40.846,4.476,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_assertive__s000,cut_in,laser,idm_assertive,0,success,75.962,5.889,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_assertive__s001,cut_in,laser,idm_assertive,1,success,76.389,5.86,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_assertive__s002,cut_in,laser,idm_assertive,2,success,79.333,5.831,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_assertive__s004,cut_in,laser,idm_assertive,4,success,77.877,5.824,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_assertive__s005,cut_in,laser,idm_assertive,5,success,79.638,5.978,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_conservative__s000,cut_in,laser,idm_conservative,0,success,76.849,5.549,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_conservative__s001,cut_in,laser,idm_conservative,1,success,89.938,5.633,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_conservative__s002,cut_in,laser,idm_conservative,2,success,87.428,5.078,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_conservative__s004,cut_in,laser,idm_conservative,4,success,83.199,6.112,True,True,False,,,,14.95000022277236,
cut_in__laser__idm_conservative__s005,cut_in,laser,idm_conservative,5,success,31.957,4.19,True,True,False,,,,14.95000022277236,
cut_in__laser__plant2__s000,cut_in,laser,plant2,0,success,84.655,21.923,False,True,True,,16.58195641171187,,14.95000022277236,
cut_in__laser__plant2__s001,cut_in,laser,plant2,1,success,107.267,18.99,True,True,False,,,,14.95000022277236,
cut_in__laser__plant2__s002,cut_in,laser,plant2,2,success,102.566,19.178,True,True,False,,,,14.95000022277236,
cut_in__laser__plant2__s004,cut_in,laser,plant2,4,success,94.147,19.472,True,True,False,,,,14.95000022277236,
cut_in__laser__plant2__s005,cut_in,laser,plant2,5,success,99.054,19.424,True,True,False,,,,14.95000022277236,
cut_in__laser__tfv6__s000,cut_in,laser,tfv6,0,success,129.41,81.784,True,True,False,,,,14.95000022277236,
cut_in__laser__tfv6__s001,cut_in,laser,tfv6,1,success,119.488,82.08,True,True,False,,,,14.95000022277236,
cut_in__laser__tfv6__s002,cut_in,laser,tfv6,2,success,124.824,82.698,True,True,False,,,,14.95000022277236,
cut_in__laser__tfv6__s004,cut_in,laser,tfv6,4,success,128.264,77.828,True,True,False,,,,14.95000022277236,
cut_in__laser__tfv6__s005,cut_in,laser,tfv6,5,success,121.63,79.684,True,True,False,,,,14.95000022277236,
lane_change__laser__idm__s000,lane_change,laser,idm,0,success,18.171,5.75,False,True,True,,17.811931083910167,,19.950000297278166,
lane_change__laser__idm__s001,lane_change,laser,idm,1,success,17.131,5.328,False,True,True,,17.64028887450695,,19.950000297278166,
lane_change__laser__idm__s002,lane_change,laser,idm,2,success,17.73,5.447,False,True,True,,17.776992510072887,,19.950000297278166,
lane_change__laser__idm__s004,lane_change,laser,idm,4,success,19.818,5.561,False,True,True,,17.893585384823382,,19.950000297278166,
lane_change__laser__idm__s005,lane_change,laser,idm,5,success,18.118,5.417,False,True,True,,18.44405741430819,,19.950000297278166,
lane_change__laser__idm_assertive__s000,lane_change,laser,idm_assertive,0,success,17.333,5.456,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_assertive__s001,lane_change,laser,idm_assertive,1,success,17.35,5.559,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_assertive__s002,lane_change,laser,idm_assertive,2,success,17.545,5.587,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_assertive__s004,lane_change,laser,idm_assertive,4,success,17.858,5.173,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_assertive__s005,lane_change,laser,idm_assertive,5,success,18.235,5.558,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_conservative__s000,lane_change,laser,idm_conservative,0,success,16.867,5.361,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_conservative__s001,lane_change,laser,idm_conservative,1,success,16.406,4.978,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_conservative__s002,lane_change,laser,idm_conservative,2,success,17.556,5.411,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_conservative__s004,lane_change,laser,idm_conservative,4,success,17.578,5.052,True,True,False,,,,19.950000297278166,
lane_change__laser__idm_conservative__s005,lane_change,laser,idm_conservative,5,success,18.141,5.138,True,True,False,,,,19.950000297278166,
left_turn__laser__idm__s000,left_turn,laser,idm,0,success,118.562,7.571,True,True,False,,,,19.950000297278166,
left_turn__laser__idm__s001,left_turn,laser,idm,1,success,119.247,7.489,True,True,False,,,,19.950000297278166,
left_turn__laser__idm__s002,left_turn,laser,idm,2,success,118.11,7.637,True,True,False,,,,19.950000297278166,
left_turn__laser__idm__s004,left_turn,laser,idm,4,success,117.038,7.16,True,True,False,,,,19.950000297278166,
left_turn__laser__idm__s005,left_turn,laser,idm,5,success,118.193,7.479,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_assertive__s000,left_turn,laser,idm_assertive,0,success,117.902,7.637,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_assertive__s001,left_turn,laser,idm_assertive,1,success,88.176,6.633,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_assertive__s002,left_turn,laser,idm_assertive,2,success,73.749,5.992,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_assertive__s004,left_turn,laser,idm_assertive,4,success,111.073,6.865,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_assertive__s005,left_turn,laser,idm_assertive,5,success,110.573,7.189,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_conservative__s000,left_turn,laser,idm_conservative,0,success,113.219,7.488,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_conservative__s001,left_turn,laser,idm_conservative,1,success,110.751,7.508,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_conservative__s002,left_turn,laser,idm_conservative,2,success,123.393,7.496,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_conservative__s004,left_turn,laser,idm_conservative,4,success,113.389,6.964,True,True,False,,,,19.950000297278166,
left_turn__laser__idm_conservative__s005,left_turn,laser,idm_conservative,5,success,105.991,7.1,True,True,False,,,,19.950000297278166,
overtake__laser__idm__s000,overtake,laser,idm,0,success,17.288,5.503,False,True,True,,7.303635975345969,,24.950000371783972,
overtake__laser__idm__s001,overtake,laser,idm,1,success,18.602,5.704,False,True,True,,7.3740254528820515,,24.950000371783972,
overtake__laser__idm__s002,overtake,laser,idm,2,success,17.904,5.906,False,True,True,,7.432633608579636,,24.950000371783972,
overtake__laser__idm__s004,overtake,laser,idm,4,success,17.845,5.687,False,True,True,,7.562582112848759,,24.950000371783972,
overtake__laser__idm__s005,overtake,laser,idm,5,success,17.287,5.619,False,True,True,,7.374284992925823,,24.950000371783972,
overtake__laser__idm_assertive__s000,overtake,laser,idm_assertive,0,success,17.772,5.823,False,True,True,,7.689188174903393,,24.950000371783972,
overtake__laser__idm_assertive__s001,overtake,laser,idm_assertive,1,success,17.229,5.662,False,True,True,,7.610990526154637,,24.950000371783972,
overtake__laser__idm_assertive__s002,overtake,laser,idm_assertive,2,success,17.585,5.832,False,True,True,,7.293200301937759,,24.950000371783972,
overtake__laser__idm_assertive__s004,overtake,laser,idm_assertive,4,success,18.692,5.519,False,True,True,,8.445214076898992,,24.950000371783972,
overtake__laser__idm_assertive__s005,overtake,laser,idm_assertive,5,success,17.786,5.635,False,True,True,,7.831905328668654,,24.950000371783972,
overtake__laser__idm_conservative__s000,overtake,laser,idm_conservative,0,success,18.361,6.001,False,True,True,,7.595833790488541,,24.950000371783972,
overtake__laser__idm_conservative__s001,overtake,laser,idm_conservative,1,success,18.786,6.297,False,True,True,,7.3212361400946975,,24.950000371783972,
overtake__laser__idm_conservative__s002,overtake,laser,idm_conservative,2,success,19.302,6.231,False,True,True,,8.235663117840886,,24.950000371783972,
overtake__laser__idm_conservative__s004,overtake,laser,idm_conservative,4,success,17.88,5.973,False,True,True,,7.653603267855942,,24.950000371783972,
overtake__laser__idm_conservative__s005,overtake,laser,idm_conservative,5,success,17.747,5.864,False,True,True,,7.334304173476994,,24.950000371783972,
red_light__laser__idm__s000,red_light,laser,idm,0,success,114.422,6.533,True,True,False,,,,19.950000297278166,
red_light__laser__idm__s001,red_light,laser,idm,1,success,111.432,6.443,True,True,False,,,,19.950000297278166,
red_light__laser__idm__s002,red_light,laser,idm,2,success,111.303,6.479,True,True,False,,,,19.950000297278166,
red_light__laser__idm__s004,red_light,laser,idm,4,success,116.274,6.53,True,True,False,,,,19.950000297278166,
red_light__laser__idm__s005,red_light,laser,idm,5,success,114.968,5.213,True,True,False,,,,19.950000297278166,
red_light__laser__idm_assertive__s000,red_light,laser,idm_assertive,0,success,116.074,6.934,False,True,True,,35.28976640757173,,19.950000297278166,
red_light__laser__idm_assertive__s001,red_light,laser,idm_assertive,1,success,120.864,6.95,False,True,True,,34.39831697009504,,19.950000297278166,
red_light__laser__idm_assertive__s002,red_light,laser,idm_assertive,2,success,110.331,6.975,False,True,True,,34.79604130424559,,19.950000297278166,
red_light__laser__idm_assertive__s004,red_light,laser,idm_assertive,4,success,114.196,5.602,False,True,True,,34.157117230817676,,19.950000297278166,
red_light__laser__idm_assertive__s005,red_light,laser,idm_assertive,5,success,52.253,3.874,False,True,True,,20.036739118397236,,19.950000297278166,
red_light__laser__idm_conservative__s000,red_light,laser,idm_conservative,0,success,101.954,6.369,True,True,False,,,,19.950000297278166,
red_light__laser__idm_conservative__s001,red_light,laser,idm_conservative,1,success,108.358,6.537,True,True,False,,,,19.950000297278166,
red_light__laser__idm_conservative__s002,red_light,laser,idm_conservative,2,success,111.449,6.485,True,True,False,,,,19.950000297278166,
red_light__laser__idm_conservative__s004,red_light,laser,idm_conservative,4,success,106.134,5.412,True,True,False,,,,19.950000297278166,
red_light__laser__idm_conservative__s005,red_light,laser,idm_conservative,5,success,114.174,6.346,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s000,red_light,laser,plant2,0,success,137.865,31.603,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s001,red_light,laser,plant2,1,success,129.399,23.322,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s002,red_light,laser,plant2,2,success,138.532,21.671,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s004,red_light,laser,plant2,4,success,140.686,21.045,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s005,red_light,laser,plant2,5,success,130.496,20.833,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s000,red_light,laser,tfv6,0,success,154.422,98.343,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s001,red_light,laser,tfv6,1,success,165.536,96.546,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s002,red_light,laser,tfv6,2,success,130.685,96.124,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s004,red_light,laser,tfv6,4,success,132.902,95.657,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s005,red_light,laser,tfv6,5,success,151.214,97.235,True,True,False,,,,19.950000297278166,
